split,image_name,image_path,absolute_path,annotation_path,label,class_name
train,123.png,images\train\123.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\123.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\123.h5,1,positive
train,124.png,images\train\124.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\124.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\124.h5,1,positive
train,125.png,images\train\125.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\125.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\125.h5,1,positive
train,126.png,images\train\126.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\126.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\126.h5,1,positive
train,127.png,images\train\127.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\127.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\127.h5,1,positive
train,128.png,images\train\128.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\128.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\128.h5,1,positive
train,129.png,images\train\129.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\129.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\129.h5,1,positive
train,13.png,images\train\13.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\13.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\13.h5,1,positive
train,130.png,images\train\130.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\130.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\130.h5,1,positive
train,131.png,images\train\131.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\131.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\131.h5,1,positive
train,132.png,images\train\132.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\132.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\132.h5,1,positive
train,133.png,images\train\133.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\133.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\133.h5,1,positive
train,134.png,images\train\134.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\134.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\134.h5,1,positive
train,135.png,images\train\135.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\135.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\135.h5,1,positive
train,136.png,images\train\136.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\136.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\136.h5,1,positive
train,137.png,images\train\137.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\137.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\137.h5,1,positive
train,138.png,images\train\138.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\138.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\138.h5,1,positive
train,139.png,images\train\139.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\139.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\139.h5,1,positive
train,14.png,images\train\14.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\14.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\14.h5,1,positive
train,140.png,images\train\140.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\140.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\140.h5,1,positive
train,141.png,images\train\141.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\141.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\141.h5,1,positive
train,142.png,images\train\142.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\142.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\142.h5,1,positive
train,143.png,images\train\143.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\143.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\143.h5,1,positive
train,144.png,images\train\144.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\144.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\144.h5,1,positive
train,145.png,images\train\145.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\145.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\145.h5,1,positive
train,146.png,images\train\146.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\146.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\146.h5,1,positive
train,147.png,images\train\147.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\147.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\147.h5,1,positive
train,148.png,images\train\148.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\148.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\148.h5,1,positive
train,149.png,images\train\149.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\149.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\149.h5,1,positive
train,15.png,images\train\15.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\15.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\15.h5,1,positive
train,150.png,images\train\150.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\150.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\150.h5,1,positive
train,151.png,images\train\151.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\151.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\151.h5,1,positive
train,152.png,images\train\152.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\152.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\152.h5,1,positive
train,153.png,images\train\153.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\153.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\153.h5,1,positive
train,154.png,images\train\154.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\154.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\154.h5,1,positive
train,155.png,images\train\155.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\155.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\155.h5,1,positive
train,156.png,images\train\156.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\156.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\156.h5,1,positive
train,157.png,images\train\157.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\157.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\157.h5,1,positive
train,158.png,images\train\158.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\158.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\158.h5,1,positive
train,159.png,images\train\159.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\159.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\159.h5,1,positive
train,16.png,images\train\16.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\16.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\16.h5,1,positive
train,160.png,images\train\160.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\160.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\160.h5,1,positive
train,161.png,images\train\161.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\161.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\161.h5,1,positive
train,162.png,images\train\162.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\162.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\162.h5,1,positive
train,163.png,images\train\163.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\163.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\163.h5,1,positive
train,164.png,images\train\164.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\164.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\164.h5,1,positive
train,165.png,images\train\165.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\165.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\165.h5,1,positive
train,166.png,images\train\166.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\166.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\166.h5,1,positive
train,167.png,images\train\167.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\167.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\167.h5,1,positive
train,168.png,images\train\168.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\168.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\168.h5,1,positive
train,169.png,images\train\169.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\169.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\169.h5,1,positive
train,17.png,images\train\17.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\17.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\17.h5,1,positive
train,170.png,images\train\170.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\170.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\170.h5,1,positive
train,171.png,images\train\171.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\171.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\171.h5,1,positive
train,172.png,images\train\172.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\172.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\172.h5,1,positive
train,173.png,images\train\173.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\173.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\173.h5,1,positive
train,174.png,images\train\174.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\174.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\174.h5,1,positive
train,175.png,images\train\175.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\175.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\175.h5,1,positive
train,176.png,images\train\176.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\176.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\176.h5,1,positive
train,177.png,images\train\177.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\177.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\177.h5,1,positive
train,178.png,images\train\178.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\178.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\178.h5,1,positive
train,179.png,images\train\179.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\179.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\179.h5,1,positive
train,18.png,images\train\18.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\18.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\18.h5,1,positive
train,180.png,images\train\180.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\180.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\180.h5,1,positive
train,181.png,images\train\181.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\181.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\181.h5,1,positive
train,182.png,images\train\182.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\182.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\182.h5,1,positive
train,183.png,images\train\183.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\183.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\183.h5,1,positive
train,184.png,images\train\184.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\184.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\184.h5,1,positive
train,185.png,images\train\185.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\185.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\185.h5,1,positive
train,186.png,images\train\186.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\186.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\186.h5,1,positive
train,187.png,images\train\187.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\187.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\187.h5,1,positive
train,188.png,images\train\188.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\188.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\188.h5,1,positive
train,189.png,images\train\189.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\189.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\189.h5,1,positive
train,19.png,images\train\19.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\19.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\19.h5,1,positive
train,190.png,images\train\190.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\190.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\190.h5,1,positive
train,191.png,images\train\191.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\191.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\191.h5,1,positive
train,192.png,images\train\192.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\192.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\192.h5,1,positive
train,193.png,images\train\193.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\193.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\193.h5,1,positive
train,194.png,images\train\194.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\194.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\194.h5,1,positive
train,195.png,images\train\195.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\195.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\195.h5,1,positive
train,196.png,images\train\196.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\196.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\196.h5,1,positive
train,197.png,images\train\197.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\197.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\197.h5,1,positive
train,198.png,images\train\198.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\198.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\198.h5,1,positive
train,199.png,images\train\199.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\199.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\199.h5,1,positive
train,2.png,images\train\2.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\2.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\2.h5,1,positive
train,20.png,images\train\20.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\20.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\20.h5,1,positive
train,200.png,images\train\200.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\200.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\200.h5,1,positive
train,201.png,images\train\201.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\201.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\201.h5,1,positive
train,202.png,images\train\202.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\202.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\202.h5,1,positive
train,203.png,images\train\203.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\203.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\203.h5,1,positive
train,204.png,images\train\204.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\204.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\204.h5,1,positive
train,205.png,images\train\205.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\205.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\205.h5,1,positive
train,206.png,images\train\206.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\206.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\206.h5,1,positive
train,207.png,images\train\207.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\207.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\207.h5,1,positive
train,208.png,images\train\208.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\208.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\208.h5,1,positive
train,209.png,images\train\209.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\209.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\209.h5,1,positive
train,21.png,images\train\21.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\21.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\21.h5,1,positive
train,210.png,images\train\210.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\210.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\210.h5,1,positive
train,211.png,images\train\211.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\211.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\211.h5,1,positive
train,212.png,images\train\212.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\212.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\212.h5,1,positive
train,213.png,images\train\213.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\213.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\213.h5,1,positive
train,214.png,images\train\214.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\214.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\214.h5,1,positive
train,215.png,images\train\215.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\215.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\215.h5,1,positive
train,216.png,images\train\216.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\216.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\216.h5,1,positive
train,217.png,images\train\217.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\217.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\217.h5,1,positive
train,218.png,images\train\218.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\218.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\218.h5,1,positive
train,219.png,images\train\219.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\219.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\219.h5,1,positive
train,22.png,images\train\22.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\22.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\22.h5,1,positive
train,220.png,images\train\220.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\220.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\220.h5,1,positive
train,221.png,images\train\221.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\221.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\221.h5,1,positive
train,222.png,images\train\222.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\222.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\222.h5,1,positive
train,223.png,images\train\223.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\223.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\223.h5,1,positive
train,224.png,images\train\224.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\224.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\224.h5,1,positive
train,225.png,images\train\225.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\225.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\225.h5,1,positive
train,226.png,images\train\226.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\226.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\226.h5,1,positive
train,227.png,images\train\227.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\227.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\227.h5,1,positive
train,228.png,images\train\228.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\228.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\228.h5,1,positive
train,229.png,images\train\229.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\229.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\229.h5,1,positive
train,23.png,images\train\23.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\23.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\23.h5,1,positive
train,230.png,images\train\230.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\230.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\230.h5,1,positive
train,231.png,images\train\231.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\231.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\231.h5,1,positive
train,232.png,images\train\232.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\232.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\232.h5,1,positive
train,233.png,images\train\233.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\233.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\233.h5,1,positive
train,234.png,images\train\234.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\234.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\234.h5,1,positive
train,235.png,images\train\235.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\235.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\235.h5,1,positive
train,236.png,images\train\236.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\236.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\236.h5,1,positive
train,237.png,images\train\237.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\237.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\237.h5,1,positive
train,238.png,images\train\238.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\238.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\238.h5,1,positive
train,239.png,images\train\239.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\239.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\239.h5,1,positive
train,24.png,images\train\24.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\24.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\24.h5,1,positive
train,240.png,images\train\240.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\240.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\240.h5,1,positive
train,241.png,images\train\241.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\241.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\241.h5,1,positive
